Language,Type,Relation,Region,word_string,word_string_type,count,dlevel,cell_count,language_glottolog,id,name,latitude,longitude,family_id,family_name,is_distance_symmetric,is_relation_symmetric
Albanian,D2,Source,europe,nga atje|prej atje,3,4,2,6,Northern Tosk Albanian,tosk1239,Northern Tosk Albanian,41,20,indo1319,Indo-European,TRUE,FALSE
Amharic,D1,Goal,africa,bästäzzih|wädih|wädäzzih|əzzih,1,6,2,6,Amharic,amha1245,Amharic,11.708182,39.543456,afro1255,Afro-Asiatic,TRUE,TRUE
Amharic,D1,Place,africa,əzzih,3,6,2,6,Amharic,amha1245,Amharic,11.708182,39.543456,afro1255,Afro-Asiatic,TRUE,TRUE
Amharic,D1,Source,africa,käzzih,5,6,2,6,Amharic,amha1245,Amharic,11.708182,39.543456,afro1255,Afro-Asiatic,TRUE,TRUE
Amharic,D2,Goal,africa,bästäzziya|wädiya|wädäzziya|əzziya,2,6,2,6,Amharic,amha1245,Amharic,11.708182,39.543456,afro1255,Afro-Asiatic,TRUE,TRUE
Amharic,D2,Place,africa,əzziya,4,6,2,6,Amharic,amha1245,Amharic,11.708182,39.543456,afro1255,Afro-Asiatic,TRUE,TRUE
Amharic,D2,Source,africa,käzziya,6,6,2,6,Amharic,amha1245,Amharic,11.708182,39.543456,afro1255,Afro-Asiatic,TRUE,TRUE
Angolar,D1,Goal,africa,nge,2,3,2,6,Angolar,ango1258,Angolar,0.11438,6.59486,indo1319,Indo-European,FALSE,FALSE
Angolar,D1,Place,africa,ai|inge|ingee|nge|ngee,1,3,2,6,Angolar,ango1258,Angolar,0.11438,6.59486,indo1319,Indo-European,FALSE,FALSE
Angolar,D1,Source,africa,nge,2,3,2,6,Angolar,ango1258,Angolar,0.11438,6.59486,indo1319,Indo-European,FALSE,FALSE
Angolar,D2,Goal,africa,nha,3,3,2,6,Angolar,ango1258,Angolar,0.11438,6.59486,indo1319,Indo-European,FALSE,FALSE
Angolar,D2,Place,africa,nha,3,3,2,6,Angolar,ango1258,Angolar,0.11438,6.59486,indo1319,Indo-European,FALSE,FALSE
Angolar,D2,Source,africa,nha,3,3,2,6,Angolar,ango1258,Angolar,0.11438,6.59486,indo1319,Indo-European,FALSE,FALSE
"Apache, San Carlos",D1,Goal,americas,dząąyú,6,9,3,9,Western Apache,west2615,Western Apache,33.8574,-110.123,atha1245,Athabaskan-Eyak-Tlingit,TRUE,TRUE
"Apache, San Carlos",D1,Place,americas,dząą|dząągee|kū,4,9,3,9,Western Apache,west2615,Western Apache,33.8574,-110.123,atha1245,Athabaskan-Eyak-Tlingit,TRUE,TRUE
"Apache, San Carlos",D1,Source,americas,dząądí’|kūdí’,5,9,3,9,Western Apache,west2615,Western Apache,33.8574,-110.123,atha1245,Athabaskan-Eyak-Tlingit,TRUE,TRUE
"Apache, San Carlos",D2,Goal,americas,ayú,3,9,3,9,Western Apache,west2615,Western Apache,33.8574,-110.123,atha1245,Athabaskan-Eyak-Tlingit,TRUE,TRUE
"Apache, San Carlos",D2,Place,americas,a|agee|ákū,1,9,3,9,Western Apache,west2615,Western Apache,33.8574,-110.123,atha1245,Athabaskan-Eyak-Tlingit,TRUE,TRUE
"Apache, San Carlos",D2,Source,americas,adí’,2,9,3,9,Western Apache,west2615,Western Apache,33.8574,-110.123,atha1245,Athabaskan-Eyak-Tlingit,TRUE,TRUE
"Apache, San Carlos",D3,Goal,americas,lááyú,7,9,3,9,Western Apache,west2615,Western Apache,33.8574,-110.123,atha1245,Athabaskan-Eyak-Tlingit,TRUE,TRUE
"Apache, San Carlos",D3,Place,americas,láh|láhgee|lááyú|lāā|nláh|nlāā,8,9,3,9,Western Apache,west2615,Western Apache,33.8574,-110.123,atha1245,Athabaskan-Eyak-Tlingit,TRUE,TRUE
"Apache, San Carlos",D3,Source,americas,láhdí’,9,9,3,9,Western Apache,west2615,Western Apache,33.8574,-110.123,atha1245,Athabaskan-Eyak-Tlingit,TRUE,TRUE
Apatani,D1,Goal,asia,so,3,4,2,6,Apatani,apat1240,Apatani,27.1933,93.7284,sino1245,Sino-Tibetan,TRUE,FALSE
Apatani,D1,Place,asia,so,3,4,2,6,Apatani,apat1240,Apatani,27.1933,93.7284,sino1245,Sino-Tibetan,TRUE,FALSE
Apatani,D1,Source,asia,sokii,4,4,2,6,Apatani,apat1240,Apatani,27.1933,93.7284,sino1245,Sino-Tibetan,TRUE,FALSE
Apatani,D2,Goal,asia,ho,1,4,2,6,Apatani,apat1240,Apatani,27.1933,93.7284,sino1245,Sino-Tibetan,TRUE,FALSE
Apatani,D2,Place,asia,ho,1,4,2,6,Apatani,apat1240,Apatani,27.1933,93.7284,sino1245,Sino-Tibetan,TRUE,FALSE
Apatani,D2,Source,asia,hokii,2,4,2,6,Apatani,apat1240,Apatani,27.1933,93.7284,sino1245,Sino-Tibetan,TRUE,FALSE
"Arabic, Modern Standard",D1,Goal,asia,ʼilaa hunaa,7,9,3,9,Standard Arabic,stan1318,Standard Arabic,27.9625,43.8525,afro1255,Afro-Asiatic,TRUE,TRUE
"Arabic, Modern Standard",D1,Place,asia,hunaa,1,9,3,9,Standard Arabic,stan1318,Standard Arabic,27.9625,43.8525,afro1255,Afro-Asiatic,TRUE,TRUE
"Arabic, Modern Standard",D1,Source,asia,min hunaa,4,9,3,9,Standard Arabic,stan1318,Standard Arabic,27.9625,43.8525,afro1255,Afro-Asiatic,TRUE,TRUE
"Arabic, Modern Standard",D2,Goal,asia,ʼilaa hunaaka,8,9,3,9,Standard Arabic,stan1318,Standard Arabic,27.9625,43.8525,afro1255,Afro-Asiatic,TRUE,TRUE
"Arabic, Modern Standard",D2,Place,asia,hunaaka,2,9,3,9,Standard Arabic,stan1318,Standard Arabic,27.9625,43.8525,afro1255,Afro-Asiatic,TRUE,TRUE
"Arabic, Modern Standard",D2,Source,asia,min hunaaka,5,9,3,9,Standard Arabic,stan1318,Standard Arabic,27.9625,43.8525,afro1255,Afro-Asiatic,TRUE,TRUE
"Arabic, Modern Standard",D3,Goal,asia,ʼilaa hunaalika,9,9,3,9,Standard Arabic,stan1318,Standard Arabic,27.9625,43.8525,afro1255,Afro-Asiatic,TRUE,TRUE
"Arabic, Modern Standard",D3,Place,asia,hunaalika,3,9,3,9,Standard Arabic,stan1318,Standard Arabic,27.9625,43.8525,afro1255,Afro-Asiatic,TRUE,TRUE
"Arabic, Modern Standard",D3,Source,asia,min hunaalika,6,9,3,9,Standard Arabic,stan1318,Standard Arabic,27.9625,43.8525,afro1255,Afro-Asiatic,TRUE,TRUE
"Arrernte, Eastern",D1,Goal,oceania,nhenhewerne,6,9,3,9,"Arrernte, Eastern",east2379,Eastern Arrernte,-23.3583,135.046,pama1250,Pama-Nyungan,TRUE,TRUE
"Arrernte, Eastern",D1,Place,oceania,nhenhe|nhenhele,4,9,3,9,"Arrernte, Eastern",east2379,Eastern Arrernte,-23.3583,135.046,pama1250,Pama-Nyungan,TRUE,TRUE
"Arrernte, Eastern",D1,Source,oceania,nhenhengentyele,5,9,3,9,"Arrernte, Eastern",east2379,Eastern Arrernte,-23.3583,135.046,pama1250,Pama-Nyungan,TRUE,TRUE
"Arrernte, Eastern",D2,Goal,oceania,yanhearteke,8,9,3,9,"Arrernte, Eastern",east2379,Eastern Arrernte,-23.3583,135.046,pama1250,Pama-Nyungan,TRUE,TRUE
"Arrernte, Eastern",D2,Place,oceania,yanhe|yanhele,7,9,3,9,"Arrernte, Eastern",east2379,Eastern Arrernte,-23.3583,135.046,pama1250,Pama-Nyungan,TRUE,TRUE
"Arrernte, Eastern",D2,Source,oceania,yanhengentyele,9,9,3,9,"Arrernte, Eastern",east2379,Eastern Arrernte,-23.3583,135.046,pama1250,Pama-Nyungan,TRUE,TRUE
"Arrernte, Eastern",D3,Goal,oceania,nhakwewerne,3,9,3,9,"Arrernte, Eastern",east2379,Eastern Arrernte,-23.3583,135.046,pama1250,Pama-Nyungan,TRUE,TRUE
"Arrernte, Eastern",D3,Place,oceania,nhakwe|nhakwele,2,9,3,9,"Arrernte, Eastern",east2379,Eastern Arrernte,-23.3583,135.046,pama1250,Pama-Nyungan,TRUE,TRUE
"Arrernte, Eastern",D3,Source,oceania,nhakwe+nge,1,9,3,9,"Arrernte, Eastern",east2379,Eastern Arrernte,-23.3583,135.046,pama1250,Pama-Nyungan,TRUE,TRUE
Atong,D1,Goal,asia,icina|isaŋ|isaŋna,10,14,5,15,Atong,aton1242,Atong,6.03539,9.72121,atla1278,Atlantic-Congo,FALSE,FALSE
Atong,D1,Place,asia,ici,9,14,5,15,Atong,aton1242,Atong,6.03539,9.72121,atla1278,Atlantic-Congo,FALSE,FALSE
Atong,D1,Source,asia,imi|isaŋ|isaŋmi,11,14,5,15,Atong,aton1242,Atong,6.03539,9.72121,atla1278,Atlantic-Congo,FALSE,FALSE
Atong,D2,Goal,asia,ucina|usaŋ|usaŋna,13,14,5,15,Atong,aton1242,Atong,6.03539,9.72121,atla1278,Atlantic-Congo,FALSE,FALSE
Atong,D2,Place,asia,uci,12,14,5,15,Atong,aton1242,Atong,6.03539,9.72121,atla1278,Atlantic-Congo,FALSE,FALSE
Atong,D2,Source,asia,umi|usaŋ|usaŋmi,14,14,5,15,Atong,aton1242,Atong,6.03539,9.72121,atla1278,Atlantic-Congo,FALSE,FALSE
Atong,D3,Goal,asia,hawcina,3,14,5,15,Atong,aton1242,Atong,6.03539,9.72121,atla1278,Atlantic-Congo,FALSE,FALSE
Atong,D3,Place,asia,hawci,2,14,5,15,Atong,aton1242,Atong,6.03539,9.72121,atla1278,Atlantic-Congo,FALSE,FALSE
Atong,D3,Source,asia,hawsaŋ|hawsaŋmi,4,14,5,15,Atong,aton1242,Atong,6.03539,9.72121,atla1278,Atlantic-Congo,FALSE,FALSE
Atong,D4,Goal,asia,həyawcina,7,14,5,15,Atong,aton1242,Atong,6.03539,9.72121,atla1278,Atlantic-Congo,FALSE,FALSE
Atong,D4,Place,asia,həyawchi,6,14,5,15,Atong,aton1242,Atong,6.03539,9.72121,atla1278,Atlantic-Congo,FALSE,FALSE
Atong,D4,Source,asia,həyawsan|həyawsaŋmi,8,14,5,15,Atong,aton1242,Atong,6.03539,9.72121,atla1278,Atlantic-Congo,FALSE,FALSE
Atong,D5,Goal,asia,hawtəy,5,14,5,15,Atong,aton1242,Atong,6.03539,9.72121,atla1278,Atlantic-Congo,FALSE,FALSE
Atong,D5,Place,asia,hawtəy,5,14,5,15,Atong,aton1242,Atong,6.03539,9.72121,atla1278,Atlantic-Congo,FALSE,FALSE
Atong,D5,Source,asia,∄,1,14,5,15,Atong,aton1242,Atong,6.03539,9.72121,atla1278,Atlantic-Congo,FALSE,FALSE
Baba Malay,D1,Goal,asia,disini|sini,5,6,3,9,Baba Malay,baba1267,Baba Malay,1.75414,103.076,aust1307,Austronesian,TRUE,FALSE
Baba Malay,D1,Place,asia,disini|sini,5,6,3,9,Baba Malay,baba1267,Baba Malay,1.75414,103.076,aust1307,Austronesian,TRUE,FALSE
Baba Malay,D1,Source,asia,dari sini,2,6,3,9,Baba Malay,baba1267,Baba Malay,1.75414,103.076,aust1307,Austronesian,TRUE,FALSE
Baba Malay,D2,Goal,asia,disana|sana,4,6,3,9,Baba Malay,baba1267,Baba Malay,1.75414,103.076,aust1307,Austronesian,TRUE,FALSE
Baba Malay,D2,Place,asia,disana|sana,4,6,3,9,Baba Malay,baba1267,Baba Malay,1.75414,103.076,aust1307,Austronesian,TRUE,FALSE
Baba Malay,D2,Source,asia,dari sana,1,6,3,9,Baba Malay,baba1267,Baba Malay,1.75414,103.076,aust1307,Austronesian,TRUE,FALSE
Baba Malay,D3,Goal,asia,disitu|situ,6,6,3,9,Baba Malay,baba1267,Baba Malay,1.75414,103.076,aust1307,Austronesian,TRUE,FALSE
Baba Malay,D3,Place,asia,disitu|situ,6,6,3,9,Baba Malay,baba1267,Baba Malay,1.75414,103.076,aust1307,Austronesian,TRUE,FALSE
Baba Malay,D3,Source,asia,dari situ,3,6,3,9,Baba Malay,baba1267,Baba Malay,1.75414,103.076,aust1307,Austronesian,TRUE,FALSE
Balese,D1,Goal,africa,ràni,1,6,3,9,Lese,lese1243,Lese,1.3,29.3,cent2225,Central Sudanic,TRUE,FALSE
Balese,D1,Place,africa,ràpà,2,6,3,9,Lese,lese1243,Lese,1.3,29.3,cent2225,Central Sudanic,TRUE,FALSE
Balese,D1,Source,africa,ràni,1,6,3,9,Lese,lese1243,Lese,1.3,29.3,cent2225,Central Sudanic,TRUE,FALSE
Balese,D2,Goal,africa,rini,5,6,3,9,Lese,lese1243,Lese,1.3,29.3,cent2225,Central Sudanic,TRUE,FALSE
Balese,D2,Place,africa,ripà,6,6,3,9,Lese,lese1243,Lese,1.3,29.3,cent2225,Central Sudanic,TRUE,FALSE
Balese,D2,Source,africa,rini,5,6,3,9,Lese,lese1243,Lese,1.3,29.3,cent2225,Central Sudanic,TRUE,FALSE
Balese,D3,Goal,africa,rɛni,3,6,3,9,Lese,lese1243,Lese,1.3,29.3,cent2225,Central Sudanic,TRUE,FALSE
Balese,D3,Place,africa,rɛpà,4,6,3,9,Lese,lese1243,Lese,1.3,29.3,cent2225,Central Sudanic,TRUE,FALSE
Balese,D3,Source,africa,rɛni,3,6,3,9,Lese,lese1243,Lese,1.3,29.3,cent2225,Central Sudanic,TRUE,FALSE
Bambara,D1,Goal,africa,yan,1,2,2,6,Bambara,bamb1269,Bambara,12.9,-7.65,mand1469,Mande,TRUE,TRUE
Bambara,D1,Place,africa,yan,1,2,2,6,Bambara,bamb1269,Bambara,12.9,-7.65,mand1469,Mande,TRUE,TRUE
Bambara,D1,Source,africa,yan,1,2,2,6,Bambara,bamb1269,Bambara,12.9,-7.65,mand1469,Mande,TRUE,TRUE
Bambara,D2,Goal,africa,yen,2,2,2,6,Bambara,bamb1269,Bambara,12.9,-7.65,mand1469,Mande,TRUE,TRUE
Bambara,D2,Place,africa,yen,2,2,2,6,Bambara,bamb1269,Bambara,12.9,-7.65,mand1469,Mande,TRUE,TRUE
Bambara,D2,Source,africa,yen,2,2,2,6,Bambara,bamb1269,Bambara,12.9,-7.65,mand1469,Mande,TRUE,TRUE
Bangime,D1,Goal,africa,ímà,1,3,3,9,Bangime,bang1363,Bangime,14.8116,-3.77092,NA,isolate,TRUE,TRUE
Bangime,D1,Place,africa,ímà,1,3,3,9,Bangime,bang1363,Bangime,14.8116,-3.77092,NA,isolate,TRUE,TRUE
Bangime,D1,Source,africa,ímà,1,3,3,9,Bangime,bang1363,Bangime,14.8116,-3.77092,NA,isolate,TRUE,TRUE
Bangime,D2,Goal,africa,ŋwì,3,3,3,9,Bangime,bang1363,Bangime,14.8116,-3.77092,NA,isolate,TRUE,TRUE
Bangime,D2,Place,africa,ŋwì,3,3,3,9,Bangime,bang1363,Bangime,14.8116,-3.77092,NA,isolate,TRUE,TRUE
Bangime,D2,Source,africa,ŋwì,3,3,3,9,Bangime,bang1363,Bangime,14.8116,-3.77092,NA,isolate,TRUE,TRUE
Bangime,D3,Goal,africa,kèbè,2,3,3,9,Bangime,bang1363,Bangime,14.8116,-3.77092,NA,isolate,TRUE,TRUE
Bangime,D3,Place,africa,kèbè,2,3,3,9,Bangime,bang1363,Bangime,14.8116,-3.77092,NA,isolate,TRUE,TRUE
Bangime,D3,Source,africa,kèbè,2,3,3,9,Bangime,bang1363,Bangime,14.8116,-3.77092,NA,isolate,TRUE,TRUE
Bantawa,D1,Goal,asia,odhatni|otni,9,9,3,9,Bantawa,bant1281,Bantawa,27.12147,87.04738,sino1245,Sino-Tibetan,TRUE,TRUE
Bantawa,D1,Place,asia,oda,7,9,3,9,Bantawa,bant1281,Bantawa,27.12147,87.04738,sino1245,Sino-Tibetan,TRUE,TRUE
Bantawa,D1,Source,asia,odaŋka,8,9,3,9,Bantawa,bant1281,Bantawa,27.12147,87.04738,sino1245,Sino-Tibetan,TRUE,TRUE
Bantawa,D2,Goal,asia,modhatni|motni,6,9,3,9,Bantawa,bant1281,Bantawa,27.12147,87.04738,sino1245,Sino-Tibetan,TRUE,TRUE
Bantawa,D2,Place,asia,moda,4,9,3,9,Bantawa,bant1281,Bantawa,27.12147,87.04738,sino1245,Sino-Tibetan,TRUE,TRUE
Bantawa,D2,Source,asia,modaŋka,5,9,3,9,Bantawa,bant1281,Bantawa,27.12147,87.04738,sino1245,Sino-Tibetan,TRUE,TRUE
Bantawa,D3,Goal,asia,khodhatni|khotni,3,9,3,9,Bantawa,bant1281,Bantawa,27.12147,87.04738,sino1245,Sino-Tibetan,TRUE,TRUE
