language,name,iso_639_3,genus,family,fusion,source,level,tense,remoteness,obligatoriness,gcode,extra_count,complexity
"Uw Cuwa (Tunebo, Angosturas) [tnd]","Uw Cuwa (Tunebo, Angosturas)",tnd,Chibchan Proper,Chibchan,Concatenative,(Headland 1994: 23),3,Present / Past / Future,Past: 2 / Future: 2,obligatory,ango1257,2,5
Vietnamese [vie],Vietnamese,vie,Viet-Muong,Austro-Asiatic,Isolating*,(Thompson 1987: 209),3,Simltaneous / Anterior / Posterior,–,optional,viet1252,0,3
Wambaya [wmb],Wambaya,wmb,West Barkly,Australian,Concatenative,(Nordlinger 1993: 195ff),3,Present / Past / Future,–,obligatory,wamb1258,0,3
Wambon [wms],Wambon,wms,Awyu-Dumut,Trans-New Guinea,Concatenative/ Non-linear,(Vries & Vries- Wiersma 1992: 25ff),3,Present / Past / Future,–,obligatory,wamb1259,0,3
Waorani [auc],Waorani,auc,Waorani,Waorani,Concatenative,"(Peeke 1973: 14ff, 38ff)",3,Present / Past / Future,Past: 2,NA,waor1240,1,4
Warao [wba],Warao,wba,Warao,Warao,Concatenative*,(Osborn 1967: 47ff),3,Present / Past / Future,–,obligatory,wara1303,0,3
Wardaman [wrr],Wardaman,wrr,Yangmanic,Australian,Concatenative*,(Merlan 1994: 175ff),3,Present / Past / Future,–,obligatory,ward1246,0,3
Warihio (Huarijío) [var],Warihio (Huarijío),var,Tarahumaran,Uto-Aztecan,Concatenative,"(Felix Armendariz 2006: 55, 121ff)",3,Present / Past / Future,–,obligatory,huar1255,0,3
Washo [was],Washo,was,Washo,Washo,Concatenative,"(Jacobsen 1964: 606ff, passim)",3,Present / Past / Future,Past: 3 / Future: 2,obligatory,wash1253,3,6
Welsh [cym],Welsh,cym,Celtic,Indo-European,Concatenative,(King 1993: 136f),3,Present / Past / Future,–,obligatory,wels1247,0,3
Wolof [wol],Wolof,wol,Northern Atlantic,Niger-Congo,Concatenative,"(Diouf 2009, Ngom 2003)",3,Present / Past / Future,–,optional,nucl1347,0,3
Yagua [yad],Yagua,yad,Peba-Yaguan,Peba-Yaguan,Concatenative*,(Payne 1985: 240ff),3,Present / Past / Future,Past: 5 / Future: 2,obligatory,yagu1244,5,8
Yale [nce],Yale,nce,Yale,Yale,Concatenative,(Campbell & Campbell 1987: 49),3,Present / Past / Future,–,obligatory,yale1246,0,3
Yana [ynn],Yana,ynn,Yana,Hokan,Concatenative,(Sapir 1922a: 231ff),3,Present / Past / Future,Past: 2,obligatory,yana1271,1,4
Yessan-Mayo [yss],Yessan-Mayo,yss,Tama Sepik,Sepik,Concatenative,(Foreman 1974: 39ff),3,Present / Past / Future,Past: 2,obligatory,yess1239,1,4
Yuchi [yuc],Yuchi,yuc,Yuchi,Yuchi,Isolating,(Linn 2001: 270ff),3,Present / Past / Future,Future: 2,optional,yuch1247,1,4
Zuni [zun],Zuni,zun,Zuni,Zuni,Concatenative,"(Nichols 1998: 10ff, passim)",3,Present / Past / Future,–,obligatory,zuni1245,0,3
