language,name,iso_639_3,genus,family,fusion,source,level,tense,remoteness,obligatoriness,gcode,extra_count,complexity
Awara [awx],Awara,awx,Finisterre-Huon,Trans-New Guinea,Concatenative,(Quigley 2002: 69),3,Present / Past / Future,–,obligatory,awar1248,0,3
Awngi [awn],Awngi,awn,Central Cushitic,Afro-Asiatic,NA,"(Bybee et al. 1994: 82, 248 citing Hetzron 1969: 12ff)",3,Present / Past / Future,–,NA,awng1244,0,3
Bardi [bcj],Bardi,bcj,Nyulnyulan,Australian,Concatenative,(Bowern 2004: 210ff),3,Present / Past / Future,–,obligatory,bard1255,0,3
Basque [eus],Basque,eus,Basque,Basque,Concatenative*,(Hualde & Ortiz de Urbina 2003: 249ff),3,Present / Past / Future,–,obligatory,basq1248,0,3
Beja (Bedawiyet) [bej],Beja (Bedawiyet),bej,Beja,Afro-Asiatic,Concatenative/ Non-linear*,(Wedekind et al. 2008),3,Present / Past / Future,–,obligatory,beja1238,0,3
Berik [bkl],Berik,bkl,Tor,Tor-Orya,Concatenative,(Westrum 1988: 150ff),3,Present / Past / Future,–,obligatory,beri1254,0,3
Burushaski [bsk],Burushaski,bsk,Burushaski,Burushaski,Concatenative*,(Munshi 2006),3,Present / Past / Future,–,obligatory,buru1296,0,3
Buwandik (Bunganditj) [-],Buwandik (Bunganditj),-,Bungandidj,Australian,Concatenative,(Blake 2003: 57ff),3,Present / Past / Future,Past: 2,obligatory,bung1264,1,4
"Chehalis, Upper [cjh]","Chehalis, Upper",cjh,Tsamosan,Salishan,Concatenative,(Kinkade 1963: 63ff),3,Present / Past / Future,–,obligatory,uppe1439,0,3
Cherokee [chr],Cherokee,chr,Southern Iroquoian,Iroquoian,Concatenative,(King 1975: 71ff),3,Present / Past / Future,–,obligatory,cher1273,0,3
Chichimeco (Chichimeca-Jonaz) [pei],Chichimeco (Chichimeca-Jonaz),pei,Chichimec,Oto-Manguean,Concatenative/ Non-linear,(Angulo 1933: 164ff),3,Present / Past / Future,Past: 3,obligatory,chic1272,2,5
Chimariko [cid],Chimariko,cid,Chimariko,Hokan,Concatenative,(Jany 2009: 103ff),3,Present / Past / Future,–,obligatory,chim1301,0,3
Chipaya [cap],Chipaya,cap,Uru-Chipaya,Uru-Chipaya,Concatenative,(Cerrón-Palomino 2006: 147ff),3,Present / Past / Future,–,obligatory,chip1262,0,3
"Cora (Cora, El Nayar) [crn]","Cora (Cora, El Nayar)",crn,Corachol,Uto-Aztecan,Concatenative,(Casad 1984: 358ff),3,Present / Past / Future,Past: 2,obligatory,elna1235,1,4
"Cuna (Kuna, San Blas) [cuk]","Cuna (Kuna, San Blas)",cuk,Kuna,Chibchan,Concatenative,(Holmer 1946: 192ff),3,Present / Past / Future,–,obligatory,sanb1242,0,3
Cupeño [cup],Cupeño,cup,Takic,Uto-Aztecan,Concatenative,(Hill 2005: 116),3,Present / Past / Future,Future: 2,obligatory,cupe1243,1,4
Daga [dgz],Daga,dgz,Dagan,Dagan,Concatenative*,"(Murane 1974: 49ff, 52ff, 58ff)",3,Present / Past / Future,–,obligatory,daga1275,0,3
"Dani, Lower Grand Valley [dni]","Dani, Lower Grand Valley",dni,Dani,Trans-New Guinea,Concatenative*,(Bromley 1972: 28),3,Present / Past / Future,Future: 2,obligatory,lowe1415,1,4
Dime [dim],Dime,dim,South Omotic,Afro-Asiatic,Concatenative,"(Seyoum 2008: 121ff, 128, 134, 136)",3,Present / Past / Future,Past: 2,obligatory,dime1235,1,4
Duna [duc],Duna,duc,Duna,Trans-New Guinea,Isolating/ Concatenative,(Cochrane & Cochrane 1966: 17),3,Present / Past / Future,–,obligatory,duna1248,0,3
East Dangla (Dangaléat) [daa],East Dangla (Dangaléat),daa,East Chadic,Afro-Asiatic,Concatenative/ Non-linear,(Shay 1999: 193–216),3,Present / Past / Future,–,obligatory,dang1274,0,3
Enenlhet (Toba- Maskoy) [tmf],Enenlhet (Toba- Maskoy),tmf,Mascoian,Mascoian,Isolating,"(Unruh et al. 2003: 30, 284ff)",3,Present / Past / Future,Past: 2,obligatory,toba1268,1,4
Epena Pedee (Epena) [sja],Epena Pedee (Epena),sja,Choco,Choco,Concatenative*,(Harms 1994: 97ff),3,Present / Past / Future,–,obligatory,epen1239,0,3
Eton [eto],Eton,eto,Bantoid,Niger-Congo,Concatenative/ Non-linear,(van de Velde 2008: 231ff),3,Present / Past / Future,Past: 3,obligatory,eton1253,2,5
Eudeve (Opata) [opt],Eudeve (Opata),opt,Cahita,Uto-Aztecan,Concatenative,(Shaul 1991: 82f),3,Present / Past / Future,–,obligatory,opat1246,0,3
Evenki [evn],Evenki,evn,Tungusic,Altaic,Concatenative*,(Nedjalkov 1997: 235ff),3,Present / Past / Future,–,obligatory,even1259,0,3
Fasu [faa],Fasu,faa,Fasu,Trans-New Guinea,Concatenative,"(Loeweke & May: 66f, passim)",3,Present / Past / Future,–,optional,fasu1242,0,3
Fur [fvr],Fur,fvr,Fur,Fur,Concatenative/ Non-linear,"(Jakobi 1990: 94, 101ff, 115, 129)",3,Present / Past / Future,–,obligatory,furr1244,0,3
Gaagudju (Gagadu) [gbu],Gaagudju (Gagadu),gbu,Gaagudju,Australian,Concatenative,(Harvey 1992: 209),3,Present / Past / Future,–,obligatory,gaga1251,0,3
Gaahmg (Gaam) [tbi],Gaahmg (Gaam),tbi,Eastern Jebel,Eastern Sudanic,Concatenative/ Non-linear,"(Stirtz 2011: 20, 53, 173ff)",3,Past / Future / Nonpast,–,obligatory,gaam1241,0,3
Garo [grt],Garo,grt,Bodo-Garo,Sino-Tibetan,Concatenative*,(Burling 2003: 390),3,Present / Past / Future,Future: 2,obligatory,garo1247,1,4
Georgian [kat],Georgian,kat,Kartvelian,Kartvelian,Concatenative*,"(Dahl 1985: 164, Aronson 1990: 40ff)",3,Present / Past / Future,–,obligatory,nucl1302,0,3
Gimira (Bench) [bcq],Gimira (Bench),bcq,North Omotic,Afro-Asiatic,Concatenative/ Non-linear,(Breeze 1990: 29),3,Present / Past / Future,–,obligatory,benc1235,0,3
Gooniyandi [gni],Gooniyandi,gni,Bunuban,Australian,Concatenative*,(McGregor 1990: 215),3,Present / Past / Future,–,obligatory,goon1238,0,3
Greek [ell],Greek,ell,Greek,Indo-European,Concatenative*,(Ruge 1984: 55ff),3,Present / Past / Future,–,obligatory,mode1248,0,3
Gundangara [-],Gundangara,-,Anson Bay,Australian,Concatenative,(Mathews 1901: 145ff),3,Present / Past / Future,–,obligatory,gund1248,0,3
"Haida, Skidegate (Haida, Southern) [hax]","Haida, Skidegate (Haida, Southern)",hax,Haida,Haida,Concatenative*,"(Levine 1977: 106, 115ff)",3,Past / Future / Nonfuture,–,obligatory,sout2956,0,3
Halkomelem [hur],Halkomelem,hur,Central Salish,Salishan,Concatenative,(Galloway 1977: 296ff),3,Present / Past / Future,–,obligatory,halk1245,0,3
"Hebrew, Modern [heb]","Hebrew, Modern",heb,Semitic,Afro-Asiatic,Concatenative/ Non-linear*,(Glinert 2004: 121ff),3,Present / Past / Future,–,obligatory,hebr1245,0,3
Hindi [hin],Hindi,hin,Indic,Indo-European,Concatenative*,"(Dahl 1985: 168, Kachru 1990)",3,Present / Past / Future,–,obligatory,hind1269,0,3
"Hmong Dâw (Miao, White) [mww]","Hmong Dâw (Miao, White)",mww,Hmong-Mien,Hmong-Mien,Isolating,(Mottin 1978: 84ff),3,Present / Past / Future,Past: 2,optional,hmon1333,1,4
Hungarian [hun],Hungarian,hun,Ugric,Uralic,Concatenative*,(Kenesei et al. 1998: 289ff),3,Present / Past / Future,–,obligatory,hung1274,0,3
Hurrian [-],Hurrian,-,Hurrian,Hurro-Urartian,Concatenative,(Bush 1964: 188ff),3,Present / Past / Future,–,obligatory,hurr1240,0,3
Ibibio [ibb],Ibibio,ibb,Cross River,Niger-Congo,Concatenative/ Non-linear,(Kaufman 1968: 199),3,Present / Past / Future,–,obligatory,ibib1240,0,3
Ik [ikx],Ik,ikx,Kuliak,Eastern Sudanic,Concatenative,"(Tucker 1971, 1972, 1973: passim)",3,Present / Past / Future,–,obligatory,ikkk1242,0,3
Ineseño [inz],Ineseño,inz,Chumash,Chumash,Concatenative,(Applegate 1971: 291ff),3,Present / Past / Future,–,optional,ines1240,0,3
Ingush [inh],Ingush,inh,Nakh,Nakh- Daghestanian,Concatenative*,(Nichols 2011: 243ff),3,Present / Past / Future,–,obligatory,ingu1240,0,3
Italian [ita],Italian,ita,Romance,Indo-European,Concatenative,(personal knowledge),3,Present / Past / Future,–,obligatory,ital1282,0,3
Iwam [iwm],Iwam,iwm,Upper Sepik,Sepik,Concatenative,(Conrad 1976: 9),3,Present / Past / Future,–,obligatory,iwam1256,0,3
Jabutí [jbt],Jabutí,jbt,Jabutí,Jabutí,Concatenative,"(Nascimento Pires 1992: 78, passim)",3,Present / Past / Future,–,obligatory,djeo1235,0,3
Jaminjung (Djamindjung) [djd],Jaminjung (Djamindjung),djd,Jaminjungan,Australian,Concatenative,(Schultze-Berndt 2000),3,Present / Past / Future,–,obligatory,djam1255,0,3
Jarawara (Jamamadí) [jaa],Jarawara (Jamamadí),jaa,Arauan,Arauan,Concatenative,"(Vogel 2006: 34, Dixon 2003: 168, 174)",3,Present / Past / Future,Past: 3,obligatory,jama1261,2,5
Javaé (Karajá) [kpj],Javaé (Karajá),kpj,Karaja,Macro-Ge,Concatenative,(Maia 1998: passim),3,Present / Past / Future,–,obligatory,kara1500,0,3
Jivaro (Shuar) [jiv],Jivaro (Shuar),jiv,Jivaroan,Jivaroan,Concatenative,"(Turner 1958: 64, 89, 93f)",3,Present / Past / Future,Past: 2,obligatory,shua1257,1,4
Juang [jun],Juang,jun,Munda,Austro-Asiatic,Concatenative,(Matson 1964: 28),3,Present / Past / Future,–,obligatory,juan1238,0,3
Kabardian [kbd],Kabardian,kbd,Northwest Caucasian,Northwest Caucasian,Concatenative,(Colarusso 1992: 124),3,Present / Past / Future,–,obligatory,kaba1278,0,3
Kaluli [bco],Kaluli,bco,Bosavi,Bosavi,Concatenative,(Grosh & Grosh 2004: 16ff),3,Present / Past / Future,–,obligatory,kalu1248,0,3
Kamano [kbq],Kamano,kbq,Eastern Highlands,Trans-New Guinea,Concatenative,(Payne & Drew 2009 [1970]: 43ff),3,Present / Past / Future,–,optional,kama1370,0,3
Kanoé [kxo],Kanoé,kxo,Kapixana,Kapixana,Concatenative,(Bacelar 2004: 220f),3,Present / Past / Future,–,obligatory,kano1245,0,3
Kapampangan (Pampangan) [pam],Kapampangan (Pampangan),pam,Central Luzon,Austronesian,Concatenative/ Non-linear,(Mirikitani 1972: 65ff),3,Present / Past / Future,–,obligatory,pamp1243,0,3
"Karaboro (Karaboro, Western) [kza]","Karaboro (Karaboro, Western)",kza,Gur,Niger-Congo,NA,(Dahl 1985: 176),3,Present / Past / Future,–,NA,west2466,0,3
Karkar-Yuri [yuj],Karkar-Yuri,yuj,Karkar-Yuri,Karkar-Yuri,Concatenative,(Rigden 1986: pas- sim),3,Present / Past / Future,–,optional,kark1258,0,3
Karok [kyh],Karok,kyh,Karok,Karok,Concatenative*,(Kroeber 1911: 432),3,Present / Past / Future,–,obligatory,karo1304,0,3
Kayardild [gyd],Kayardild,gyd,Tangkic,Australian,Concatenative*,"(Evans 1995: 258, 402)",3,Present / Past / Future,–,obligatory,kaya1319,0,3
Khasi [kha],Khasi,kha,Khasian,Austro-Asiatic,Isolating*,"(Roberts 1995: 55ff, 59ff)",3,Present / Past / Future,Future: 2,obligatory,khas1269,1,4
Khwarshi (Khvarshi) [khv],Khwarshi (Khvarshi),khv,Avar-Andic-Tsezic,Nakh- Daghestanian,Concatenative,"(Khalilova 2009: 183, 184f, 188, passim)",3,Present / Past / Future,–,obligatory,khva1239,0,3
Kusunda [kgg],Kusunda,kgg,Kusunda,Kusunda,Concatenative,(Watters 2006: 66f),3,Present / Past / Future,–,optional,kusu1250,0,3
Lak [lbe],Lak,lbe,Lak-Dargwa,Nakh- Daghestanian,Concatenative,(Schulze 2007: 7),3,Present / Past / Future,–,obligatory,lakk1252,0,3
Latvian [lav],Latvian,lav,Baltic,Indo-European,Concatenative,(Viksnins 1992: 130ff),3,Present / Past / Future,–,obligatory,latv1249,0,3
Lembena [leq],Lembena,leq,Engan,Trans-New Guinea,Concatenative,(Heineman 1998: 24ff),3,Present / Past / Future,Past: 3,obligatory,lemb1266,2,5
Lezgian (Lezgi) [lez],Lezgian (Lezgi),lez,Lezgic,Nakh- Daghestanian,Concatenative*,"(Haspelmath 1993: 136, 140ff, 146)",3,Present / Past / Future,–,obligatory,lezg1247,0,3
Logo [log],Logo,log,Moru-Ma’di,Nilo-Saharan,Isolating,"(Wright 1995: 52ff, 55, 70ff)",3,Simltaneous / Anterior / Posterior,–,optional,logo1259,0,3
"Malagasy (Malagasy, Plateau) [plt]","Malagasy (Malagasy, Plateau)",plt,Barito,Austronesian,Concatenative*,(Keenan & Polinsky 1998: passim),3,Present / Past / Future,–,obligatory,plat1254,0,3
Mamaindé [wmd],Mamaindé,wmd,Nambiquaran,Nambiquaran,Concatenative,"(Eberhard 2009: 380ff, 394, 432, 445ff)",3,Present / Past / Future,Past: 3,obligatory,mama1278,2,5
