phylum_family,sub_group,orig_language,language,gcode,system_type,complexity
AUSTRONESIAN,indonesian,Tagalog,Tagalog,taga1270,-2 N + 2,5
AUSTRONESIAN,oceanic,Tahitian,Tahitian,tahi1242,-2 N + 2,5
SINO-TIBETAN,sinitic,Taiwanese,Taibei Hokkien,taib1242,-3 N + 3,7
ALTAIC,turkic,Tatar,Tatar,tata1255,-2 N + 2,5
AUSTRONESIAN,oceanic,Tolo,Tolo,tolo1253,-2 N + 2,5
AUSTRONESIAN,oceanic,Tongan,Tonga (Tonga Islands),tong1325,-2 N + 2,5
NIGER-CONGO,bantu,Tswana,Tswana,tswa1253,-2 N + 2,5
ALTAIC,mongolean,Tu~Monghur,Monguoric,tuuu1240,-2 N + 2,5
AUSTRONESIAN,oceanic,Tuvaluan,Tuvalu,tuva1244,-2 N + 2,5
ALTAIC,turkic,Tuva,Tuvinian,tuvi1240,-2 N + 2,5
PENUTIAN,mayan,Huixtec Tzotzil,Tzotzil,tzot1259,-3 N + 3,7
ALTAIC,turkic,Uyghur,Uighur,uigh1240,-2 N + 2,5
OTO-MANGUEAN,chinantecan,Usila Chinantec,Usila Chinantec,usil1237,-2 N + 2,5
ALTAIC,turkic,Uzbek,Uzbek,uzbe1247,-2 N + 2,5
INDO-PACIFIC,NA,Varapu,Bauni,wara1302,-3 N + 3,7
INDO-EUROPEAN,celtic,Welsh,Welsh,wels1247,-2 N + 3,6
INDO-EUROPEAN,germanic,Low Saxon,West Low German,west2357,-2 N + 2,5
AUSTRONESIAN,oceanic,Wayan,Western Viti Levu-Yasawas Fijian,west2519,-6 N +6 (and beyond),13
ALTAIC,tungus,Sibe,Xibe,xibe1242,-2 N + 2,5
AUSTRONESIAN,oceanic,Yapese,Yapese,yape1248,-3 N + 3,7
OTO-MANGUEAN,zapotecan,Yatzachi Zapotec,Yatzachi Zapotec,yatz1235,-3 N + 3,7
PENUTIAN,mayan,Yucatec,Yucatec Maya,yuca1254,-3 N + 3,7
INDO-PACIFIC,NA,Natleba,NA,NA,-3 N + 3,7
