Language,Type,Modality,Relation,Word,Region
"Gidar (Afro-Asiatic, Chadic)",SI,SI,Place,aŋga,africa
"Gidar (Afro-Asiatic, Chadic)",SI,SI,Place,ŋga,africa
"Gidar (Afro-Asiatic, Chadic)",SI,SI,Source,səŋga,africa
"Gidar (Afro-Asiatic, Chadic)",SI,SI,Goal,aŋga,africa
"Gidar (Afro-Asiatic, Chadic)",D1,place,Place,aŋka,africa
"Gidar (Afro-Asiatic, Chadic)",D1,place,Source,saŋka,africa
"Gidar (Afro-Asiatic, Chadic)",D1,place,Source,səŋka,africa
"Gidar (Afro-Asiatic, Chadic)",D1,place,Goal,aŋka,africa
"Gidar (Afro-Asiatic, Chadic)",D2,place,Place,ada,africa
"Gidar (Afro-Asiatic, Chadic)",D2,place,Place,adaka,africa
"Gidar (Afro-Asiatic, Chadic)",D2,place,Source,sədaka,africa
"Gidar (Afro-Asiatic, Chadic)",D2,place,Goal,ada,africa
"Gidar (Afro-Asiatic, Chadic)",D2,place,Goal,adaka,africa
Penange (Dogon),SI,SI,Place,mbá,africa
Penange (Dogon),SI,SI,Source,mbá,africa
Penange (Dogon),SI,SI,Goal,mbá,africa
Penange (Dogon),D1,place,Place,nùwn,africa
Penange (Dogon),D1,place,Source,nùwn,africa
Penange (Dogon),D1,place,Goal,nùwn,africa
Penange (Dogon),D2,place,Place,èmbà,africa
Penange (Dogon),D2,place,Source,èmbà,africa
Penange (Dogon),D2,place,Goal,èmbà,africa
Dime (South Omotic),SI,SI,Place,Ɂamó,africa
Dime (South Omotic),SI,SI,Source,Ɂamóde,africa
Dime (South Omotic),SI,SI,Goal,Ɂamó,africa
Dime (South Omotic),D1,place,Place,sikiyó,africa
Dime (South Omotic),D1,place,Source,sikiyóde,africa
Dime (South Omotic),D1,place,Goal,sikiyó,africa
Dime (South Omotic),D2,place,Place,sakiyó,africa
Dime (South Omotic),D2,place,Place,kiyó,africa
Dime (South Omotic),D2,place,Source,sakiyóde,africa
Dime (South Omotic),D2,place,Source,kiyóde,africa
Dime (South Omotic),D2,place,Goal,sakiyó,africa
Dime (South Omotic),D2,place,Goal,kiyó,africa
"Hausa (Afro-Asiatic, Chadic)",SI,SI,Place,ìnaa,africa
"Hausa (Afro-Asiatic, Chadic)",SI,SI,Source,dàgà ìnaa,africa
"Hausa (Afro-Asiatic, Chadic)",SI,SI,Goal,ìnaa,africa
"Hausa (Afro-Asiatic, Chadic)",SI,SI,Goal,ìnaa zuwàa,africa
"Hausa (Afro-Asiatic, Chadic)",D1,place,Place,nân,africa
"Hausa (Afro-Asiatic, Chadic)",D1,place,Source,dàgà nân,africa
"Hausa (Afro-Asiatic, Chadic)",D1,place,Goal,nân,africa
"Hausa (Afro-Asiatic, Chadic)",D1,place,Goal,zuwàa nân,africa
"Hausa (Afro-Asiatic, Chadic)",D2,place,Source,dàgà nan,africa
"Hausa (Afro-Asiatic, Chadic)",D2,place,Goal,nan,africa
"Hausa (Afro-Asiatic, Chadic)",D2,place,Goal,zuwàa nan,africa
"Hausa (Afro-Asiatic, Chadic)",D3,place,Place,cân,africa
"Hausa (Afro-Asiatic, Chadic)",D3,place,Source,dàgà cân,africa
"Hausa (Afro-Asiatic, Chadic)",D3,place,Goal,cân,africa
"Hausa (Afro-Asiatic, Chadic)",D3,place,Goal,zuwàa cân,africa
"Hausa (Afro-Asiatic, Chadic)",D4,place,Place,can,africa
"Hausa (Afro-Asiatic, Chadic)",D4,place,Source,dàgà can,africa
"Hausa (Afro-Asiatic, Chadic)",D4,place,Goal,can,africa
"Hausa (Afro-Asiatic, Chadic)",D4,place,Goal,zuwàa can,africa
"Dii (Atlantic-Congo, Central Adamawa)",SI,SI,Place,téé,africa
"Dii (Atlantic-Congo, Central Adamawa)",SI,SI,Place,tɛ́lá,africa
"Dii (Atlantic-Congo, Central Adamawa)",SI,SI,Source,tɛ́lá,africa
"Dii (Atlantic-Congo, Central Adamawa)",SI,SI,Goal,tɛ́lá,africa
"Dii (Atlantic-Congo, Central Adamawa)",D1,place,Place,yɛlı̵́,africa
"Dii (Atlantic-Congo, Central Adamawa)",D1,place,Source,yɛlı̵́,africa
"Dii (Atlantic-Congo, Central Adamawa)",D1,place,Goal,yɛlı̵́,africa
"Dii (Atlantic-Congo, Central Adamawa)",D2,place,Place,wu̵lı̵́,africa
"Dii (Atlantic-Congo, Central Adamawa)",D2,place,Source,wu̵lı̵́,africa
"Dii (Atlantic-Congo, Central Adamawa)",D2,place,Goal,wu̵lı̵́,africa
"Dii (Atlantic-Congo, Central Adamawa)",D3,place,Place,zulí,africa
"Dii (Atlantic-Congo, Central Adamawa)",D3,place,Source,zulí,africa
"Dii (Atlantic-Congo, Central Adamawa)",D3,place,Goal,zulí,africa
Zialo (Mande),SI,SI,Place,mìnì,africa
Zialo (Mande),SI,SI,Source,mìnì,africa
Zialo (Mande),SI,SI,Goal,mìnì,africa
Zialo (Mande),D1,place,Place,vè,africa
Zialo (Mande),D1,place,Source,vè,africa
Zialo (Mande),D1,place,Goal,vè,africa
Zialo (Mande),D2,place,Place,náy,africa
Zialo (Mande),D2,place,Place,nɔ̀vè,africa
Zialo (Mande),D2,place,Source,náy,africa
Zialo (Mande),D2,place,Source,nɔ̀vè,africa
Zialo (Mande),D2,place,Goal,náy,africa
Zialo (Mande),D2,place,Goal,nɔ̀vè,africa
Zialo (Mande),D3,place,Place,mùnɔ̀,africa
Zialo (Mande),D3,place,Source,mùnɔ̀,africa
Zialo (Mande),D3,place,Goal,mùnɔ̀,africa
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",SI,SI,Place,é̩ta,africa
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",SI,SI,Source,é̩ta,africa
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",SI,SI,Source,kàba é̩ta,africa
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",SI,SI,Goal,é̩ta,africa
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",D1,place,Place,è̩ko̩,africa
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",D1,place,Source,è̩ko̩,africa
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",D1,place,Source,kàba è̩ko̩,africa
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",D1,place,Goal,è̩ko̩,africa
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",D2,place,Place,è̩fà ò̩né̩bé̩,africa
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",D2,place,Source,è̩fà ò̩né̩bé̩,africa
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",D2,place,Source,kàba è̩fà ò̩né̩bé̩,africa
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",D2,place,Goal,è̩fà ò̩né̩bé̩,africa
"Ngizim (Afro-Asiatic, Chadic)",SI,SI,Place,aa rawan,africa
"Ngizim (Afro-Asiatic, Chadic)",SI,SI,Source,da rawan,africa
"Ngizim (Afro-Asiatic, Chadic)",SI,SI,Goal,ii rawan,africa
"Ngizim (Afro-Asiatic, Chadic)",D1,place,Place,aa rii tku,africa
"Ngizim (Afro-Asiatic, Chadic)",D1,place,Source,da rii tku,africa
"Ngizim (Afro-Asiatic, Chadic)",D1,place,Goal,ii rii tku,africa
"Ngizim (Afro-Asiatic, Chadic)",D2,place,Place,aa rii tiyu,africa
"Ngizim (Afro-Asiatic, Chadic)",D2,place,Source,da rii tiyu,africa
"Ngizim (Afro-Asiatic, Chadic)",D2,place,Goal,ii rii tiyu,africa
"Ngizim (Afro-Asiatic, Chadic)",D3,place,Place,aa riyu,africa
"Ngizim (Afro-Asiatic, Chadic)",D3,place,Source,da riyu,africa
"Ngizim (Afro-Asiatic, Chadic)",D3,place,Goal,ii riyu,africa
"Munukutuba (Atlantic-Congo, Bantu)",SI,SI,Place,wapi,africa
"Munukutuba (Atlantic-Congo, Bantu)",SI,SI,Place,wapi sika,africa
"Munukutuba (Atlantic-Congo, Bantu)",SI,SI,Source,wapi,africa
"Munukutuba (Atlantic-Congo, Bantu)",SI,SI,Source,wapi sika,africa
"Munukutuba (Atlantic-Congo, Bantu)",SI,SI,Goal,wapi,africa
"Munukutuba (Atlantic-Congo, Bantu)",SI,SI,Goal,wapi ndambu,africa
"Munukutuba (Atlantic-Congo, Bantu)",D1,place,Place,awa,africa
"Munukutuba (Atlantic-Congo, Bantu)",D1,place,Source,awa,africa
"Munukutuba (Atlantic-Congo, Bantu)",D1,place,Source,tuka awa,africa
"Munukutuba (Atlantic-Congo, Bantu)",D1,place,Goal,awa,africa
"Munukutuba (Atlantic-Congo, Bantu)",D2,place,Place,kuna,africa
"Munukutuba (Atlantic-Congo, Bantu)",D2,place,Source,kuna,africa
"Munukutuba (Atlantic-Congo, Bantu)",D2,place,Source,tuka kuna,africa
"Munukutuba (Atlantic-Congo, Bantu)",D2,place,Goal,kuna,africa
"Fon (Atlantic-Congo, Gbe)",SI,SI,Place,fítɛ́,africa
"Fon (Atlantic-Congo, Gbe)",SI,SI,Source,fítɛ́,africa
"Fon (Atlantic-Congo, Gbe)",SI,SI,Goal,fítɛ́,africa
"Fon (Atlantic-Congo, Gbe)",D1,place,Place,fí,africa
"Fon (Atlantic-Congo, Gbe)",D1,place,Source,fí,africa
"Fon (Atlantic-Congo, Gbe)",D1,place,Goal,fí,africa
"Fon (Atlantic-Congo, Gbe)",D2,place,Place,fínɛ́,africa
"Fon (Atlantic-Congo, Gbe)",D2,place,Source,fínɛ́,africa
"Fon (Atlantic-Congo, Gbe)",D2,place,Goal,fínɛ́,africa
Bunoge Dogon (Dogon),SI,SI,Place,nálò,africa
Bunoge Dogon (Dogon),SI,SI,Source,nálò,africa
Bunoge Dogon (Dogon),SI,SI,Goal,nálò,africa
Bunoge Dogon (Dogon),D1,place,Place,mànâ,africa
Bunoge Dogon (Dogon),D1,place,Place,málò,africa
Bunoge Dogon (Dogon),D1,place,Place,má,africa
Bunoge Dogon (Dogon),D1,place,Source,málò,africa
Bunoge Dogon (Dogon),D1,place,Source,má,africa
Bunoge Dogon (Dogon),D1,place,Goal,málò,africa
Bunoge Dogon (Dogon),D1,place,Goal,má,africa
Bunoge Dogon (Dogon),D2,place,Place,bònâ,africa
Bunoge Dogon (Dogon),D2,place,Place,bólò,africa
Bunoge Dogon (Dogon),D2,place,Place,bó,africa
Bunoge Dogon (Dogon),D2,place,Source,bólò,africa
Bunoge Dogon (Dogon),D2,place,Source,bó,africa
Bunoge Dogon (Dogon),D2,place,Goal,bólò,africa
Bunoge Dogon (Dogon),D2,place,Goal,bó,africa
"Miya (Afro-Asiatic, Chadic)",SI,SI,Place,ʾìykwá,africa
"Miya (Afro-Asiatic, Chadic)",SI,SI,Place,yíkwa,africa
"Miya (Afro-Asiatic, Chadic)",SI,SI,Source,áa ʾìykwá,africa
"Miya (Afro-Asiatic, Chadic)",SI,SI,Source,àa yukwá,africa
"Miya (Afro-Asiatic, Chadic)",SI,SI,Goal,ʾìykwá,africa
"Miya (Afro-Asiatic, Chadic)",SI,SI,Goal,yíkwa,africa
"Miya (Afro-Asiatic, Chadic)",D1,place,Place,ʾíykən,africa
"Miya (Afro-Asiatic, Chadic)",D1,place,Source,áa ʾíykən,africa
"Miya (Afro-Asiatic, Chadic)",D1,place,Goal,ʾíykən,africa
"Miya (Afro-Asiatic, Chadic)",D2,place,Place,ʾíyka,africa
"Miya (Afro-Asiatic, Chadic)",D2,place,Source,áa ʾíyka,africa
"Miya (Afro-Asiatic, Chadic)",D2,place,Goal,ʾíyka,africa
"Malagasy (Austronesian, Greater Barito)",SI,SI,Place,àiza,africa
"Malagasy (Austronesian, Greater Barito)",SI,SI,Place,àiza,africa
"Malagasy (Austronesian, Greater Barito)",SI,SI,Source,àiza,africa
"Malagasy (Austronesian, Greater Barito)",SI,SI,Source,àiza,africa
"Malagasy (Austronesian, Greater Barito)",SI,SI,Goal,àiza,africa
"Malagasy (Austronesian, Greater Barito)",SI,SI,Goal,àiza,africa
"Malagasy (Austronesian, Greater Barito)",D1,place,Place,èto,africa
"Malagasy (Austronesian, Greater Barito)",D1,place,Place,èto,africa
"Malagasy (Austronesian, Greater Barito)",D1,place,Place,etỳ,africa
"Malagasy (Austronesian, Greater Barito)",D1,place,Place,etỳ,africa
"Malagasy (Austronesian, Greater Barito)",D1,place,Source,èto,africa
"Malagasy (Austronesian, Greater Barito)",D1,place,Source,èto,africa
"Malagasy (Austronesian, Greater Barito)",D1,place,Source,etỳ,africa
"Malagasy (Austronesian, Greater Barito)",D1,place,Source,etỳ,africa
"Malagasy (Austronesian, Greater Barito)",D1,place,Goal,èto,africa
"Malagasy (Austronesian, Greater Barito)",D1,place,Goal,èto,africa
"Malagasy (Austronesian, Greater Barito)",D1,place,Goal,etỳ,africa
"Malagasy (Austronesian, Greater Barito)",D1,place,Goal,etỳ,africa
"Malagasy (Austronesian, Greater Barito)",D1 B,place,Place,àto,africa
"Malagasy (Austronesian, Greater Barito)",D1 B,place,Place,àto,africa
"Malagasy (Austronesian, Greater Barito)",D1 B,place,Place,atỳ,africa
"Malagasy (Austronesian, Greater Barito)",D1 B,place,Place,atỳ,africa
"Malagasy (Austronesian, Greater Barito)",D1 B,place,Source,ato,africa
"Malagasy (Austronesian, Greater Barito)",D1 B,place,Source,ato,africa
"Malagasy (Austronesian, Greater Barito)",D1 B,place,Source,atỳ,africa
"Malagasy (Austronesian, Greater Barito)",D1 B,place,Source,atỳ,africa
"Malagasy (Austronesian, Greater Barito)",D1 B,place,Goal,àto,africa
"Malagasy (Austronesian, Greater Barito)",D1 B,place,Goal,àto,africa
"Malagasy (Austronesian, Greater Barito)",D1 B,place,Goal,atỳ,africa
"Malagasy (Austronesian, Greater Barito)",D1 B,place,Goal,atỳ,africa
"Malagasy (Austronesian, Greater Barito)",D2,place,Place,eo,africa
"Malagasy (Austronesian, Greater Barito)",D2,place,Place,eo,africa
"Malagasy (Austronesian, Greater Barito)",D2,place,Place,etsy,africa
"Malagasy (Austronesian, Greater Barito)",D2,place,Place,etsy,africa
"Malagasy (Austronesian, Greater Barito)",D2,place,Source,eo,africa
"Malagasy (Austronesian, Greater Barito)",D2,place,Source,eo,africa
"Malagasy (Austronesian, Greater Barito)",D2,place,Goal,eo,africa
"Malagasy (Austronesian, Greater Barito)",D2,place,Goal,eo,africa
"Malagasy (Austronesian, Greater Barito)",D2 B,place,Place,ao,africa
"Malagasy (Austronesian, Greater Barito)",D2 B,place,Place,ao,africa
"Malagasy (Austronesian, Greater Barito)",D2 B,place,Place,atsy,africa
"Malagasy (Austronesian, Greater Barito)",D2 B,place,Place,atsy,africa
"Malagasy (Austronesian, Greater Barito)",D3,place,Place,èny,africa
"Malagasy (Austronesian, Greater Barito)",D3,place,Place,èny,africa
"Malagasy (Austronesian, Greater Barito)",D3,place,Place,erỳ,africa
"Malagasy (Austronesian, Greater Barito)",D3,place,Place,erỳ,africa
"Malagasy (Austronesian, Greater Barito)",D3,place,Place,eroa,africa
"Malagasy (Austronesian, Greater Barito)",D3,place,Place,eroa,africa
"Malagasy (Austronesian, Greater Barito)",D3,place,Source,eny,africa
"Malagasy (Austronesian, Greater Barito)",D3,place,Source,eny,africa
"Malagasy (Austronesian, Greater Barito)",D3,place,Source,erỳ,africa
"Malagasy (Austronesian, Greater Barito)",D3,place,Source,erỳ,africa
"Malagasy (Austronesian, Greater Barito)",D3,place,Goal,èny,africa
"Malagasy (Austronesian, Greater Barito)",D3,place,Goal,èny,africa
"Malagasy (Austronesian, Greater Barito)",D3,place,Goal,erỳ,africa
"Malagasy (Austronesian, Greater Barito)",D3,place,Goal,erỳ,africa
"Malagasy (Austronesian, Greater Barito)",D3 B,place,Place,àny,africa
"Malagasy (Austronesian, Greater Barito)",D3 B,place,Place,àny,africa
"Malagasy (Austronesian, Greater Barito)",D3 B,place,Place,arỳ,africa
"Malagasy (Austronesian, Greater Barito)",D3 B,place,Place,arỳ,africa
"Malagasy (Austronesian, Greater Barito)",D3 B,place,Place,aroa,africa
"Malagasy (Austronesian, Greater Barito)",D3 B,place,Place,aroa,africa
"Malagasy (Austronesian, Greater Barito)",D3 B,place,Source,any,africa
"Malagasy (Austronesian, Greater Barito)",D3 B,place,Source,any,africa
"Malagasy (Austronesian, Greater Barito)",D3 B,place,Source,arỳ,africa
"Malagasy (Austronesian, Greater Barito)",D3 B,place,Source,arỳ,africa
"Malagasy (Austronesian, Greater Barito)",D3 B,place,Goal,àny,africa
"Malagasy (Austronesian, Greater Barito)",D3 B,place,Goal,àny,africa
"Malagasy (Austronesian, Greater Barito)",D3 B,place,Goal,arỳ,africa
"Malagasy (Austronesian, Greater Barito)",D3 B,place,Goal,arỳ,africa
Wolaytta (Ta-Ne-Omotic),SI,SI,Place,áu,africa
Wolaytta (Ta-Ne-Omotic),SI,SI,Place,áw,africa
Wolaytta (Ta-Ne-Omotic),SI,SI,Place,áuni,africa
Wolaytta (Ta-Ne-Omotic),SI,SI,Place,áwni,africa
Wolaytta (Ta-Ne-Omotic),SI,SI,Source,áuppe,africa
Wolaytta (Ta-Ne-Omotic),SI,SI,Source,áwppe,africa
Wolaytta (Ta-Ne-Omotic),SI,SI,Goal,áu,africa
Wolaytta (Ta-Ne-Omotic),SI,SI,Goal,áw,africa
Wolaytta (Ta-Ne-Omotic),D1,place,Place,hagáání,africa
Wolaytta (Ta-Ne-Omotic),D1,place,Place,hagáá,africa
Wolaytta (Ta-Ne-Omotic),D1,place,Place,há,africa
Wolaytta (Ta-Ne-Omotic),D1,place,Source,hagááppé,africa
Wolaytta (Ta-Ne-Omotic),D1,place,Source,hááppé,africa
Wolaytta (Ta-Ne-Omotic),D1,place,Goal,háa,africa
Wolaytta (Ta-Ne-Omotic),D1,place,Goal,háakko,africa
Wolaytta (Ta-Ne-Omotic),D1,place,Goal,hagáá,africa
Wolaytta (Ta-Ne-Omotic),D2,place,Place,hegáání,africa
Wolaytta (Ta-Ne-Omotic),D2,place,Place,hegáá,africa
Wolaytta (Ta-Ne-Omotic),D2,place,Place,híni,africa
Wolaytta (Ta-Ne-Omotic),D2,place,Place,hínííní,africa
Wolaytta (Ta-Ne-Omotic),D2,place,Place,yá,africa
Wolaytta (Ta-Ne-Omotic),D2,place,Source,hegááppé,africa
Wolaytta (Ta-Ne-Omotic),D2,place,Source,hínippe,africa
Wolaytta (Ta-Ne-Omotic),D2,place,Source,yááppé,africa
Wolaytta (Ta-Ne-Omotic),D2,place,Goal,yáa,africa
Wolaytta (Ta-Ne-Omotic),D2,place,Goal,yáakko,africa
Wolaytta (Ta-Ne-Omotic),D2,place,Goal,híniyo,africa
Wolaytta (Ta-Ne-Omotic),D2,place,Goal,hegáá,africa
Nobiin (Nubian),SI,SI,Place,síddó,africa
Nobiin (Nubian),SI,SI,Place,híddó,africa
Nobiin (Nubian),SI,SI,Source,híddóláak,africa
Nobiin (Nubian),SI,SI,Source,híddótóon,africa
Nobiin (Nubian),SI,SI,Goal,síddó,africa
Nobiin (Nubian),SI,SI,Goal,híddó,africa
Nobiin (Nubian),D1,place,Place,ínná,africa
Nobiin (Nubian),D1,place,Place,ìndò,africa
Nobiin (Nubian),D1,place,Source,ínnátóon,africa
Nobiin (Nubian),D1,place,Source,ìndòtóon,africa
Nobiin (Nubian),D1,place,Goal,ínná,africa
Nobiin (Nubian),D1,place,Goal,ìndò,africa
Nobiin (Nubian),D2,place,Place,mándó,africa
Nobiin (Nubian),D2,place,Source,mándótóon,africa
Nobiin (Nubian),D2,place,Goal,mándó,africa
Susu (Mande),SI,SI,Place,minde,africa
Susu (Mande),SI,SI,Place,minden,africa
Susu (Mande),SI,SI,Source,minde,africa
Susu (Mande),SI,SI,Source,minden,africa
Susu (Mande),SI,SI,Goal,minde,africa
Susu (Mande),SI,SI,Goal,minden,africa
Susu (Mande),D1,place,Place,be,africa
Susu (Mande),D1,place,Source,be,africa
Susu (Mande),D1,place,Goal,be,africa
Susu (Mande),D2,place,Place,na,africa
Susu (Mande),D2,place,Place,mènni,africa
Susu (Mande),D2,place,Source,na,africa
Susu (Mande),D2,place,Source,mènni,africa
Susu (Mande),D2,place,Goal,na,africa
Susu (Mande),D2,place,Goal,mènni,africa
"Zay (Afro-Asiatic, Semitic)",SI,SI,Place,bāɲi,africa
"Zay (Afro-Asiatic, Semitic)",SI,SI,Source,lāɲi,africa
"Zay (Afro-Asiatic, Semitic)",SI,SI,Goal,ʔaɲi,africa
"Zay (Afro-Asiatic, Semitic)",D1,place,Place,bīǧǧi,africa
"Zay (Afro-Asiatic, Semitic)",D1,place,Source,līǧǧi,africa
"Zay (Afro-Asiatic, Semitic)",D1,place,Goal,yīǧǧi,africa
"Zay (Afro-Asiatic, Semitic)",D2,place,Place,bāǧǧi,africa
"Zay (Afro-Asiatic, Semitic)",D2,place,Source,lāǧǧi,africa
"Zay (Afro-Asiatic, Semitic)",D2,place,Goal,yāǧǧi,africa
"Yoruba (Atlantic-Congo, Defoid)",SI,SI,Place,ibo,africa
"Yoruba (Atlantic-Congo, Defoid)",SI,SI,Place,níbo,africa
"Yoruba (Atlantic-Congo, Defoid)",SI,SI,Place,dà,africa
"Yoruba (Atlantic-Congo, Defoid)",SI,SI,Source,láti ibo,africa
"Yoruba (Atlantic-Congo, Defoid)",SI,SI,Source,lát‘ibo,africa
"Yoruba (Atlantic-Congo, Defoid)",SI,SI,Source,níbo,africa
"Yoruba (Atlantic-Congo, Defoid)",SI,SI,Goal,s’ibo,africa
"Yoruba (Atlantic-Congo, Defoid)",SI,SI,Goal,níbo,africa
"Yoruba (Atlantic-Congo, Defoid)",D1,place,Place,ìhín,africa
"Yoruba (Atlantic-Congo, Defoid)",D1,place,Place,níhǐn,africa
"Yoruba (Atlantic-Congo, Defoid)",D1,place,Place,níhìnín,africa
"Yoruba (Atlantic-Congo, Defoid)",D1,place,Place,ibí,africa
"Yoruba (Atlantic-Congo, Defoid)",D1,place,Place,níbí,africa
"Yoruba (Atlantic-Congo, Defoid)",D1,place,Source,láti ìhín,africa
"Yoruba (Atlantic-Congo, Defoid)",D1,place,Source,níhǐn,africa
"Yoruba (Atlantic-Congo, Defoid)",D1,place,Source,níbí,africa
"Yoruba (Atlantic-Congo, Defoid)",D1,place,Goal,síhǐn,africa
"Yoruba (Atlantic-Congo, Defoid)",D1,place,Goal,síhìnín,africa
"Yoruba (Atlantic-Congo, Defoid)",D1,place,Goal,níhǐn,africa
"Yoruba (Atlantic-Congo, Defoid)",D1,place,Goal,níhìnín,africa
"Yoruba (Atlantic-Congo, Defoid)",D1,place,Goal,síbí,africa
"Yoruba (Atlantic-Congo, Defoid)",D1,place,Goal,níbí,africa
"Yoruba (Atlantic-Congo, Defoid)",D2,place,Place,ibẹ̀,africa
"Yoruba (Atlantic-Congo, Defoid)",D2,place,Place,níbẹ̀,africa
"Yoruba (Atlantic-Congo, Defoid)",D2,place,Source,láti ibè̩,africa
"Yoruba (Atlantic-Congo, Defoid)",D2,place,Source,nibè̩,africa
"Yoruba (Atlantic-Congo, Defoid)",D2,place,Goal,síbẹ̀,africa
"Yoruba (Atlantic-Congo, Defoid)",D2,place,Goal,níbẹ̀,africa
"Yoruba (Atlantic-Congo, Defoid)",D3,place,Place,ọ̀hún,africa
"Yoruba (Atlantic-Congo, Defoid)",D3,place,Place,l‘ọ́hǔn,africa
"Yoruba (Atlantic-Congo, Defoid)",D3,place,Source,ọ̀hún,africa
"Yoruba (Atlantic-Congo, Defoid)",D3,place,Goal,ọ́hǔn,africa
"Yoruba (Atlantic-Congo, Defoid)",D3,place,Goal,s‘ọ́hǔn,africa
"Yoruba (Atlantic-Congo, Defoid)",D3,place,Goal,sọ́hùnún,africa
"Yoruba (Atlantic-Congo, Defoid)",D3,place,Goal,l‘ọ́hǔn,africa
"Tigrinya (Afro-Asiatic, Semitic)",SI,SI,Place,ɔabäy,africa
"Tigrinya (Afro-Asiatic, Semitic)",SI,SI,Place,ɔayti,africa
"Tigrinya (Afro-Asiatic, Semitic)",SI,SI,Source,kabäy,africa
"Tigrinya (Afro-Asiatic, Semitic)",SI,SI,Goal,nabäy,africa
"Tigrinya (Afro-Asiatic, Semitic)",D1,place,Place,ɔabzi,africa
"Tigrinya (Afro-Asiatic, Semitic)",D1,place,Source,kabzi,africa
"Tigrinya (Afro-Asiatic, Semitic)",D1,place,Goal,nabzi,africa
"Tigrinya (Afro-Asiatic, Semitic)",D2,place,Place,ɔabɔu,africa
"Tigrinya (Afro-Asiatic, Semitic)",D2,place,Place,ɔabti,africa
"Tigrinya (Afro-Asiatic, Semitic)",D2,place,Source,kabɔu,africa
"Tigrinya (Afro-Asiatic, Semitic)",D2,place,Source,kabti,africa
"Tigrinya (Afro-Asiatic, Semitic)",D2,place,Goal,nabɔu,africa
"Tigrinya (Afro-Asiatic, Semitic)",D2,place,Goal,nabti,africa
Hamar (South Omotic),SI,SI,Place,hamáte,africa
Hamar (South Omotic),SI,SI,Source,hamárra,africa
Hamar (South Omotic),SI,SI,Goal,hamá,africa
Hamar (South Omotic),SI,SI,Goal,hamáshet,africa
Hamar (South Omotic),SI B,SI,Place,hamóte,africa
Hamar (South Omotic),SI B,SI,Source,hamórra,africa
Hamar (South Omotic),SI B,SI,Goal,hamó,africa
Hamar (South Omotic),SI B,SI,Goal,hamóshet,africa
Hamar (South Omotic),D1,place,Place,káte,africa
Hamar (South Omotic),D1,place,Source,kárra,africa
Hamar (South Omotic),D1,place,Goal,káshet,africa
Hamar (South Omotic),D1,place,Goal,ɔ́ra,africa
Hamar (South Omotic),D1,place,Goal,ɔ́rawal,africa
Hamar (South Omotic),D1 B,place,Place,kóte,africa
Hamar (South Omotic),D1 B,place,Source,kórra,africa
Hamar (South Omotic),D1 B,place,Goal,kóshet,africa
Hamar (South Omotic),D2,place,Place,óo,africa
Hamar (South Omotic),D2,place,Source,órra,africa
Hamar (South Omotic),D2,place,Goal,óo,africa
Hamar (South Omotic),D2,place,Goal,us[],africa
Hamar (South Omotic),D2,place,Goal,úsuwal[],africa
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",SI,SI,Place,èbeē,africa
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",SI,SI,Source,èbeē,africa
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",SI,SI,Goal,èbeē,africa
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",D1,place,Place,ebe à,africa
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",D1,place,Place,n’ebe à,africa
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",D1,place,Source,ebe à,africa
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",D1,place,Source,n’ebe à,africa
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",D1,place,Goal,ebe à,africa
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",D1,place,Goal,n’ebe à,africa
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",D2,place,Place,ebe afụ̀,africa
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",D2,place,Place,n’ebe afụ̀,africa
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",D2,place,Source,ebe afụ̀,africa
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",D2,place,Source,n’ebe afụ̀,africa
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",D2,place,Goal,ebe afụ̀,africa
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",D2,place,Goal,n’ebe afụ̀,africa
"Kikuyu (Atlantic-Congo, Bantu)",SI,SI,Place,ha,africa
